amfi_code,cagr_3yr_pct,sharpe_ratio,alpha,max_drawdown,scheme_name,fund_house,category,expense_ratio_pct,return_3yr_rank,sharpe_rank,alpha_rank,expense_rank,max_dd_rank,return_score,sharpe_score,alpha_score,expense_score,max_dd_score,fund_score,overall_rank
120844,6.694394239074852,-0.08874729621557331,0.06455677495375998,-0.0011629327956168556,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,0.6,30,34,32,3,2,27.500000000000004,17.5,22.5,95.0,97.5,41.125,27
120841,17.263014444437943,0.49427253786723496,0.13042924450705445,-0.1757361416468729,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.59,22,24,25,35,24,47.5,42.5,40.0,15.0,42.5,39.375,28
118634,8.0060298597036,0.4484340089089914,0.1750072167561127,-0.2334488614483311,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,1.53,27,26,18,28,32,35.0,37.5,57.49999999999999,32.5,22.5,38.5,29
118636,4.061259859840338,-0.356629507514368,0.05074772999976104,-0.08316361763638702,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,0.55,33,38,35,1,6,20.0,7.5,15.0,100.0,87.5,34.625,30
119120,5.838988442093762,-0.22657538662791596,0.05620895216638369,-0.04328728923970093,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,0.77,32,37,34,9,5,22.5,10.0,17.5,80.0,90.0,33.75,31
101208,6.314299292105274,-0.8155673679088278,0.060861457957871144,-0.0016224980244717857,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,0.79,31,40,33,11,3,25.0,2.5,20.0,75.0,95.0,32.875,32
100025,3.9154793546847033,-0.5670947928476847,0.042817920315060876,-0.04308263824636349,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,0.56,34,39,38,2,4,17.5,5.0,7.5,97.5,92.5,31.875,33
120842,7.75416750547262,0.07599984804658917,0.0780443887615508,-0.24003511326274884,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.56,28,30,29,33,33,32.5,27.500000000000004,30.0,20.0,20.0,27.625,34
119599,-1.337083602283895,-0.05718662582817997,0.048824215945539845,-0.5257422117012851,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.72,38,32,36,5,40,7.5,22.5,12.5,90.0,2.5,24.125,35
119092,0.5257668501786883,0.030784850954585913,0.0689952982167755,-0.1440161790933726,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,1.64,36,31,30,39,15,12.5,25.0,27.500000000000004,5.0,65.0,22.75,36
101207,-4.151453816140693,0.1626607692864677,0.10897091901704538,-0.3544691649336603,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,1.53,39,28,27,28,38,5.0,32.5,35.0,32.5,7.5,22.25,37
119095,-11.703299329834216,-0.07597357117478923,0.048015953637759554,-0.5167775370852656,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,1.38,40,33,37,16,39,2.5,20.0,10.0,62.5,5.0,17.625,38
102886,-0.7672319440258146,-0.20583160785470314,0.028969397866379445,-0.2800112356639287,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,1.51,37,36,40,24,35,10.0,12.5,2.5,42.5,15.0,14.5,39
100016,1.2923525892154508,-0.2015170675596694,0.03747580763443281,-0.24734440880673303,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,1.55,35,35,39,32,34,15.0,15.0,5.0,22.5,17.5,14.375,40
